SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc78	Improvements in medical technologies have seen over-medicalization of childbirth.		Las mejoras en las tecnologías médicas han visto una sobremedicalización del parto.		Las mejoras en las tecnologías médicas han visto una <tag>sobremedicalización del</tag> parto.	Terminology - Wrong term	Minor	None
2	doc78	Caesarean section (CS) is a lifesaving procedure proven effective in reducing maternal and perinatal mortality across the globe.		La cesárea es un procedimiento que salva vidas y ha demostrado su eficacia en la reducción de la mortalidad materna y perinatal en todo el mundo.					None
3	doc78	However, as with any medical procedure, the CS intrinsically carries some risk to its beneficiaries.		Sin embargo, al igual que cualquier procedimiento médico, la cesárea conlleva ciertos riesgos intrínsecos para quienes se benefician con ella.					None
4	doc78	In recent years, CS rates have risen alarmingly in high-income countries.		En los últimos años, las tasas de cesáreas han aumentado alarmantemente en los países de altos ingresos.					None
5	doc78	Many exceeding the World Health Organisation (WHO) recommendation of a 10 to 15% annual CS rate.		Muchos superan la recomendación de la Organización Mundial de la Salud (OMS), que es una tasa anual del 10 al 15 %.		Muchos superan la recomendación de la Organización Mundial de la Salud (OMS), <tag>que es</tag> una tasa anual del 10 al 15 %.	Terminology - Inconsistent use of terminology	Minor	None
6	doc78	While this situation poses an increased risk to women and their children, it also represents an excess human and financial burden on health systems.		Si bien esta situación plantea un mayor riesgo para las mujeres y sus hijos, también representa una sobrecarga humana y financiera para los sistemas de salud.					None
7	doc78	Therefore, from a health system perspective this study systematically summarizes existing evidence relevant to the factors driving the phenomenon of increasing CS rates using Italy as a case study.		Por lo tanto, desde la perspectiva de los sistemas de salud, este estudio resume sistemáticamente la evidencia actual sobre los factores que impulsan el fenómeno del aumento de las tasas de cesáreas, utilizando a Italia como caso de estudio.					None
8	doc78	Employing the WHO Health System Framework (WHOHSF), this systematic review used the PRISMA guidelines to report findings.		Empleando el Marco del Sistema de Salud de la OMS (WHOHSF), esta revisión sistemática utilizó las directrices PRISMA para informar los hallazgos.					None
9	doc78	PubMed, SCOPUS, MEDLINE, Cochrane Library and Google Scholar databases were searched up until April 1, 2020.		Se realizaron búsquedas en las bases de datos PubMed, SCOPUS, MEDLINE, Cochrane Library y Google Scholar hasta el 1 de abril de 2020.					None
10	doc78	Findings were organised through the six dimensions of the WHOHSF framework: service delivery, health workforce, health system information; medical products vaccine and technologies, financing; and leadership and governance.		Los resultados se organizaron en torno a las seis dimensiones del marco WHOHSF: prestación de servicios, personal de salud, información sobre el sistema de salud, productos médicos, vacunas y tecnologías, financiación, y liderazgo y gobernanza.					None
11	doc78	CS rates in Italy are affected by complex interactions among several stakeholder groups and contextual factors such as the hyper-medicalisation of delivery, differences in policy and practice across units and the national context, issues pertaining to the legal and social environment, and women's attitudes towards pregnancy and childbirth.		Las tasas de cesárea en Italia se ven afectadas por interacciones complejas entre varios grupos de partes interesadas y factores contextuales, como la hipermedicalización del parto, las diferencias en las políticas y prácticas entre las unidades y el contexto nacional, cuestiones relacionadas con el entorno legal y social, y las actitudes de las mujeres hacia el embarazo y el parto.		Las tasas de cesárea en Italia se ven afectadas por interacciones complejas entre varios grupos de partes interesadas y factores contextuales, como la <tag>hipermedicalización</tag> del parto, las diferencias en las políticas y prácticas entre las unidades y el contexto nacional, cuestiones relacionadas con el entorno legal y social, y las actitudes de las mujeres hacia el embarazo y el parto.	Style - Non-fluent	Major	None
12	doc78	Mitigating the high rates of CS will require a synergistic multi-stakeholder intervention.		Mitigar las altas tasas de cesáreas requerirá una intervención sinérgica de múltiples partes interesadas.					None
13	doc78	Specifically, with processes able to attract the official endorsement of policy makers, encourage concensus between regional authorities and local governments and guide the systematic compliance of delivery units with its clinical guidelines.		En concreto, con procesos capaces de atraer el respaldo oficial de los responsables políticos, fomentar el consenso entre las autoridades regionales y los gobiernos locales, y orientar el cumplimiento sistemático de sus directrices clínicas en las unidades de parto.					None
1	doc83	In Spain, water pipe is a common device for substance abuse.		En España, la pipa de agua es un dispositivo de uso frecuente para el abuso de sustancias.					None
2	doc83	It is the second most widespread way of cannabis abuse (11.9%) between young people from 14 to 23 years old.		Es la segunda forma de abuso de cannabis más extendida (11,9 %) entre los jóvenes de 14 a 23 años.		Es la segunda forma de abuso de cannabis más <tag>extendida</tag> (11,9 %) entre los jóvenes de 14 a 23 años.	Terminology - Wrong term	Major	None
3	doc83	This use has become a public health problem, because of an intensive consumption in young people is considered as a predictor of excessive consumption in adulthood, and it causes health problems and increases the health costs.		Este uso se ha convertido en un problema de salud pública, debido a que un consumo intensivo entre los jóvenes se considera un factor de predicción del consumo excesivo en la edad adulta; además, genera problemas de salud y aumenta los gastos sanitarios.					None
4	doc83	The aim of this study was to analyze the relationship between water pipe use, lifestyle (diet, physical activity and sleep) and psychological distress, also considering unexpected effects, in university students.		El objetivo de este estudio fue analizar la relación entre el uso de la pipa de agua, el estilo de vida (alimentación, actividad física y sueño) y la angustia psicológica, a la vez que se consideran efectos inesperados, en estudiantes universitarios.					None
5	doc83	An observational and cross-sectional study was carried out, on a sample of 825 students from the University of Huelva, selected by random sampling stratified by conglomerates.		Se realizó un estudio observacional y transversal, sobre una muestra de 825 estudiantes de la Universidad de Huelva, seleccionados por muestreo aleatorio estratificado por conglomerados.					None
6	doc83	The instruments used were extracted from a larger study called "Health Behavior in University".		Los instrumentos utilizados fueron extraídos de un estudio más amplio llamado "Health Behavior in University" (Conductas de salud en la universidad).					None
7	doc83	SPSS 26.0 software was used for statistical analysis and statistical analysis was performed on the data collected.		Se utilizó el software SPSS 26.0 para realizar el análisis estadístico de los datos recopilados.					None
8	doc83	The use of water pipe was associated with less adherence to the Mediterranean diet (t=1.64; p=0.04; d=0.12), a lower number of hours of sleep during weekends (t=2.12; p =0.03; d=0.14) and with intense physical activity (t=-1.80; p=0.07; d=0.13).		El uso de la pipa de agua se asoció a un menor cumplimiento de la dieta mediterránea (t = 1,64; p = 0,04; d = 0,12), a una menor cantidad de horas de sueño durante los fines de semana (t = 2,12; p = 0,03; d = 0,14) y a la actividad física intensa (t = -1,80; p = 0,07; d = 0,13).					None
9	doc83	On the contrary, it was not associated with psychological distress.		Y, por el contrario, no se asoció a la angustia psicológica.					None
10	doc83	The use of water pipe seems to be inversely related to some aspects of a lifestyle that could be associated with long-term metabolic and respiratory diseases.		El uso de pipas de agua parece estar inversamente relacionado con algunos aspectos del estilo de vida que podrían estar asociados a enfermedades metabólicas y respiratorias crónicas.					None
1	doc84	The Neonatal Screening Program in Catalonia from its inception fifty years ago until today, has enabled the early diagnosis and treatment of more than 2,000 newborns.		El Programa de Detección Neonatal en Cataluña, desde su inicio hace cincuenta años hasta el día de hoy, ha permitido el diagnóstico y tratamiento tempranos de más de 2000 recién nacidos.		El Programa de Detección Neonatal en Cataluña, desde su inicio hace cincuenta años hasta el día de hoy, ha permitido el diagnóstico y tratamiento <tag>tempranos</tag> de más de 2000 recién nacidos.	Linguistic Conventions - Grammar	Minor	None
2	doc84	In the last decade, the Program has undergone various extensions regarding its panel of diseases and has improved its evaluation with the inclusion of quality indicators in all its stages.		En la última década, este programa ha experimentado diversas ampliaciones en cuanto a su grupo de enfermedades y ha mejorado sus evaluaciones con la inclusión de indicadores de calidad en todas sus etapas.					None
3	doc84	One of the pending subjects of the screening program has been the improvement of the quality indexes related to the sample's arrival time to the laboratory after their extraction.		Una de las asignaturas pendientes del programa de detección ha sido la mejora de los índices de calidad relacionados con el tiempo de llegada de las muestras al laboratorio tras su extracción.					None
4	doc84	The extension of the territory, the dispersion of numerous maternal centers, as well as the diversity and heterogeneity of the sample transport systems, have been an obstacle to quality compliance of these indexes.		La extensión del territorio, la distribución de numerosos centros maternales, así como la diversidad y heterogeneidad de los sistemas de transporte de muestras, han sido un obstáculo para el cumplimiento de la calidad de estos índices.					None
5	doc84	With the aim of reducing the period of samples arrival to the laboratory and continue to move towards meeting the standards established by the Ministry of Health, in 2020 a unified sample transport system has been implemented for the entire Catalan territory.		Con el objetivo de reducir el plazo de llegada de muestras al laboratorio y seguir avanzando hacia el cumplimiento de las normas establecidas por el Ministerio de Salud, en 2020 se ha implementado un sistema unificado de transporte de muestras para todo el territorio catalán.					None
6	doc84	The times obtained during the first months with the new system, have shown a notable improvement in the results, achieving a reduction of 50% of the days between the extraction of the sample and its arrival at the laboratory.		Los tiempos logrados durante los primeros meses con el nuevo sistema han mostrado una notable mejora en los resultados, ya que se logró una reducción del 50 % de los días entre la extracción de la muestra y su llegada al laboratorio.					None
1	doc86	Objective: the aim of this research was to explore the relationship between dietary pattern habits and compliance with screen-time guidelines in Spanish schoolchildren.		Objetivo: explorar la relación entre los hábitos alimentarios y el cumplimiento de las pautas sobre el tiempo frente a la pantalla en niños españoles en edad escolar.					None
2	doc86	Material and methods: a cross-sectional and associative study was performed in a total of 370 schoolchildren (44.9 % girls) aged 6-13 (8.7 ± 1.8) years.		Material y métodos: se realizó un estudio transversal y asociativo en un total de 370 niños en edad escolar (44,9 %, niñas) de entre 6 y 13 años (8,7 ± 1,8) años.					None
3	doc86	Results: for boys, those who did not meet these guidelines presented lower chances of eating vegetables regularly (OR = 0.50; 95 % CI = 0.28-0.89) or more than once a day (OR = 0.43; 95 % CI = 0.22-0.85).		Resultados: en el caso de niños varones, los que no cumplieron estas pautas presentaron menores posibilidades de comer verduras con regularidad (OR = 0,50; IC del 95 % = 0,28-0,89) o más de una vez al día (OR = 0,43; IC del 95 % = 0,22-0,85).					None
4	doc86	In girls, it was observed that those who did not meet the guidelines presented a lower probability of eating one piece of fruit (OR = 0.43; 95 % CI = 0.19-0.99) as well as a second piece (OR = 0.22; 95 % CI = 0.22-0.81), vegetables more than once a day (OR = 0.39; 95 % CI = 0.19-0.80), fish (at least 2-3 times/week) (OR = 0.40; 95 % CI = 0.20-0.78) and nuts (at least 2 or 3 times per week) (OR = 0.46; 95 % = 0.24-0.87). Conclusion: some healthy eating patterns, such as the consumption of fruits and vegetables, appeared to be more prevalent in those children who met the international screen-time guidelines.		En las niñas, se observó que las que no cumplían las pautas presentaban una menor probabilidad de comer una fruta (OR = 0,43; IC del 95 % = 0,19-0,99), así como una segunda fruta (OR = 0,22; IC del 95 % = 0,22-0,81), verduras más de una vez al día (OR = 0,39; IC del 95 % = 0,19-0,80), pescado (al menos 2-3 veces/semana) (OR = 0,40; IC del 95 % = 0,20-0,78) y frutos secos (al menos 2 o 3 veces por semana) (OR = 0,46; IC del 95 % = 0,24-0,87). Conclusión: algunos patrones alimentarios saludables, como el consumo de frutas y verduras, parecían ser más prevalentes en niños que cumplían las pautas internacionales sobre el tiempo frente a la pantalla.					None
1	doc88	This essay discusses the repercussions of the COVID-19 pandemic on the relation between labor and health, from the perspective of the workers' risk and vulnerability.		En este ensayo, se analizan las repercusiones de la pandemia de la COVID-19 en la relación entre el trabajo y la salud, desde la perspectiva del riesgo y la vulnerabilidad de los trabajadores.					None
2	doc88	The pandemic has represented a humanitarian crisis, since both the disease and the measures to contain it lead to persistent socioeconomic effects.		La pandemia ha representado una crisis humanitaria, ya que tanto la enfermedad como las medidas para contenerla provocaron efectos socioeconómicos persistentes.					None
3	doc88	In this context, the labor category has an important role, either because of the feasibility of maintaining the social distancing and living conditions allowed by the employment relationship, or because of the impossibility of adopting protection strategies due to job insecurity.		En este contexto, la categoría laboral tiene un papel importante, ya sea por la viabilidad de mantener el distanciamiento social y las condiciones de vida permitidas por la relación laboral o por la imposibilidad de adoptar estrategias de protección debido a la precariedad laboral.					None
4	doc88	The essay was initially built on the basis of a literature review on the interface between COVID-19 and workers' health, carried out from December 2019 to April 2020, on the PubMed, BIREME, Cochrane Library, medRxiv and LitCovid bases, as well as using gray literature.		El ensayo se desarrolló, en principio, sobre la base de una revisión de las publicaciones médicas sobre la interfaz entre la COVID-19 y la salud de los trabajadores, realizada desde diciembre de 2019 hasta abril de 2020, en las bases PubMed, BIREME, Cochrane Library, medRxiv y LitCovid, así como con el uso de literatura gris.					None
5	doc88	Health professionals are more affected, but they also have greater access to diagnosis; however, data are still scarce on other professional categories, as well as on the social determinants that lead to greater labor-related vulnerability.		Los profesionales sanitarios se ven más afectados, pero también tienen un mayor acceso al diagnóstico; sin embargo, aún son escasos los datos sobre otras categorías profesionales, así como sobre los determinantes sociales que provocan una mayor vulnerabilidad laboral.					None
6	doc88	In Brazil, the pandemic coincides with a situation in which workers accumulate significant losses of labor and social security rights, in addition to pre-existing social inequalities, such as precarious housing, with greater exposure and risk.		En Brasil, la pandemia coincide con una situación en la que los trabajadores acumulan importantes pérdidas de derechos laborales y de seguridad social, además de desigualdades sociales preexistentes, como la vivienda precaria, con una mayor exposición y riesgo.					None
7	doc88	Although the pandemic is still evolving, social inequalities are expected to intensify, with the deep retraction of the economy, and workers must be a priority target of attention in the control and spread of the disease, in addition to being the axis for planning public social and health protection policies.		Aunque la pandemia aún está evolucionando, se espera que las desigualdades sociales se intensifiquen con el profundo retroceso de la economía, y los trabajadores deben ser un objetivo de atención prioritario en el control y propagación de la enfermedad, además de ser el eje para la planificación de políticas públicas de protección social y sanitaria.					None
1	doc89	Introduction: sarcopenia is considered a risk factor for cancer patients, as it increases mortality and post-surgical complications, and reduces response to treatment and quality of life.		Introducción: la sarcopenia se considera un factor de riesgo para los pacientes con cáncer, ya que aumenta la mortalidad y las complicaciones posquirúrgicas, reduce la respuesta al tratamiento y empeora la calidad de vida.					None
2	doc89	Objective: to identify the risk of sarcopenia by SARC-CalF, as well as the factors associated with this outcome in patients with cancer of the gastrointestinal tract (GIT) and adnexal glands.		Objetivo: identificar el riesgo de sarcopenia por SARC-CalF, así como los factores asociados a este resultado en pacientes con cáncer de tubo digestivo y glándulas anexiales.					None
3	doc89	Methods: this cross-sectional study included patients with cancer of the GIT and adnexal glands, without edema or ascites, of both sexes and aged ≥ 20 years.		Métodos: este estudio transversal incluyó a pacientes con cáncer de tubo digestivo y glándulas anexiales, sin edema ni ascitis, de ambos sexos y de ≥20 años de edad.					None
4	doc89	Conventional anthropometric variables and handgrip strength (HGS) were measured.		Se midieron variables antropométricas convencionales y fuerza de prensión manual (FPM).					None
5	doc89	The risk of sarcopenia was assessed through the SARC-CalF questionnaire, and nutritional status by the Patient-Generated Subjective Global Assessment (PG-SGA).		El riesgo de sarcopenia se evaluó mediante el cuestionario SARC-CalF, y el estado nutricional mediante la Evaluación Global Subjetiva Generada por el Paciente (PG-SGA).					None
6	doc89	The data analysis was performed using the SPSS® software, 22.0, with a significance of 5 %. Results: seventy patients took part in the study.		El análisis de datos se realizó usando el software SPSS® 22.0, con una significación del 5 %. Resultados: setenta pacientes participaron en el estudio.					None
7	doc89	Of these, 55.7 % were female, 52.9 % were aged over 60 years, and 64.3 % were non-white.		De ellos, el 55,7 % eran mujeres, el 52,9 % tenían más de 60 años y el 64,3 % no eran blancos.					None
8	doc89	PG-SGA identified 50.0 % of patients as well-nourished and 50.0 % as having some degree of malnutrition.		La PG-SGA identificó al 50,0 % de los pacientes como bien nutridos y al 50,0 % con algún grado de desnutrición.					None
9	doc89	The prevalence of risk of sarcopenia was 28.6 %. There were different correlations between the SARC-CalF score and anthropometric variables (p < 0.05) according to life stage (adults and elderly).		La prevalencia del riesgo de sarcopenia fue del 28,6 %. Hubo diferentes correlaciones entre el puntaje SARC-CalF y las variables antropométricas (p < 0,05) según la etapa de vida (adultos y ancianos).					None
10	doc89	After a linear regression analysis the measures that most influenced the SARC-CalF score were arm circumference (AC) and adductor pollicis muscle thickness in the dominant hand (DAPMT) for adults, while for the elderly current weight and DAPTM (p < 0.05) were more relevant.		Tras un análisis de regresión lineal, las medidas que más influyeron en la puntuación SARC-CalF fueron la circunferencia del brazo (AC) y el grosor del músculo aductor del pulgar en la mano dominante (DAPMT) en los adultos, mientras que para los ancianos, el peso actual y el DAPTM (p < 0,05) fueron más relevantes.					None
11	doc89	Conclusion: SARC-CalF identified 28.6 % of patients at risk for sarcopenia and was associated with body weight and anthropometric variables indicative of muscle reserve in adults and the elderly.		Conclusión: el SARC-CalF identificó al 28,6 % de los pacientes con riesgo de sarcopenia, que se asoció con el peso corporal y variables antropométricas indicativas de la reserva muscular en adultos y ancianos.					None
1	doc90	The aim of this study was to review risk factors for conversion in a cohort of patients with rectal cancer undergoing minimally invasive abdominal surgery.		El objetivo de este estudio fue revisar los factores de riesgo de conversión en una cohorte de pacientes con cáncer de recto sometidos a cirugía abdominal mínimamente invasiva.					None
2	doc90	A retrospective analysis was performed of consecutive patients operated on from February 2005 to April 2018.		Se realizó un análisis retrospectivo de pacientes consecutivos operados desde febrero de 2005 hasta abril de 2018.					None
3	doc90	Adult patients undergoing low anterior resection or abdominoperineal resection for primary rectal adenocarcinoma by a minimally invasive approach were included.		Se incluyeron pacientes adultos sometidos a resección anterior baja o a resección abdominoperineal por adenocarcinoma rectal primario mediante un abordaje mínimamente invasivo.					None
4	doc90	Exclusion criteria were lack of research authorization, stage IV or recurrent rectal cancer, and emergency surgery.		Los criterios de exclusión fueron la falta de autorización para investigación, el cáncer de recto en estadio IV o recurrente, y la cirugía de emergencia.					None
5	doc90	Risk factors for conversion were investigated using logistic regression.		Los factores de riesgo de conversión se investigaron mediante regresión logística.					None
6	doc90	A subgroup analysis of obese patients		Análisis de subgrupos de pacientes obesos					None
7	doc90	(BMI 30 kg/m A total of 600 patients were included in the analysis.		(IMC 30 kg/m). Se incluyó en el análisis a un total de 600 pacientes.					None
8	doc90	The overall conversion rate was 9·2 per cent.		La tasa de conversión general fue del 9,2 por ciento.					None
9	doc90	Multivariable analysis showed a 72 per cent lower risk of conversion when patients had robotic surgery (odds ratio (OR) 0·28, 95 per cent c.i. 0·15 to 0·52).		El análisis multivariable mostró un 72 % menos de riesgo de conversión cuando los pacientes se sometieron a cirugía robótica (cociente de probabilidades [OR] = 0,28; IC del 95 % = 0,15 a 0,52).					None
10	doc90	Obese patients experienced a threefold higher risk of conversion compared with non-obese patients (47 versus 24·4 per cent respectively; P < 0·001).		Los pacientes obesos presentaban un riesgo de conversión tres veces mayor en comparación con los no obesos (47 % frente al 24,4 %, respectivamente; P < 0,001).					None
11	doc90	Robotic surgery was associated with a reduced risk of conversion in obese patients (OR 0·22, 0·07 to 0·71).		La cirugía robótica se asoció a un menor riesgo de conversión en pacientes obesos (OR = 0,22; 0,07 a 0,71).					None
12	doc90	Robotic surgery was associated with a lower risk of conversion in patients undergoing minimally invasive rectal cancer surgery, in both obese and non-obese patients.		La cirugía robótica se asoció a un menor riesgo de conversión en pacientes sometidos a cirugía mínimamente invasiva de cáncer de recto, tanto en pacientes obesos como en no obesos.					None
1	doc91	Safety positive performance indicators (PPI) reflect key aspects of safety culture; some of them also have predictive validity for occupational injuries.		Los indicadores de desempeño positivo (PPI) en materia de seguridad reflejan aspectos clave de la cultura de seguridad; algunos de ellos también tienen validez de predicción para las lesiones laborales.					None
2	doc91	This is the case of the Organizational Performance Metric (OPM), developed by the Canadian Institute for Work & Health (IWH), a short, widely validated international English language questionnaire.		Este es el caso de la Métrica de Desempeño Organizacional (OPM), desarrollada por el Canadian Institute for Work & Health (IWH), un breve cuestionario internacional en idioma inglés ampliamente validado.					None
3	doc91	The objective of this study was to obtain a transculturally adapted Spanish language version ofthe OPM, and to analyze its statistical reliability, validity and internal consistency.		El objetivo de este estudio fue obtener una versión en español adaptada transculturalmente de la OPM y analizar su fiabilidad estadística, validez y consistencia interna.					None
4	doc91	After a translation and back translation process was performed by an expert panel, 478 questionnaires were completed in Navarra, Spain.		Después de un proceso de traducción y retrotraducción realizado por un panel de expertos, se completaron 478 cuestionarios en Navarra, España.					None
5	doc91	We calculated the Cronbach alpha coefficient, bivariate correlations and the intra-class correlation coefficient (ICC) and performed exploratory factorial analysis of all eight items.		Calculamos el coeficiente alfa de Cronbach, las correlaciones bivariadas y el coeficiente de correlación intraclase (CCI) y realizamos un análisis factorial exploratorio de los ocho elementos.					None
6	doc91	Data show the new tool has high reliability (Cronbach alpha==0.863) and internal validity (ICC=0.842).		Los datos muestran que la nueva herramienta tiene una alta fiabilidad (alfa de Cronbach = 0,863) y validez interna (CCI = 0,842).					None
7	doc91	The factorial analysis confirmed a single latent factor among the eight items of the questionnaire. the adapted questionnaire (OPM-Esp) constitutes a valid instrument for use as an indicator of safety performance in Spanish companies.		El análisis factorial confirmó un único factor latente entre los ocho elementos del cuestionario. El cuestionario adaptado (OPM-Esp) constituye un instrumento válido para su uso como indicador del desempeño de seguridad en las empresas españolas.					None
8	doc91	Its brevity and simplicity make it especially useful in the work environment.		Su brevedad y sencillez la hacen especialmente útil en el entorno laboral.					None
9	doc91	Its ability to predict occupational injuries should be tested in the Spanish context.		Su capacidad para predecir lesiones laborales debe ponerse a prueba en el contexto español.					None
1	doc92	The identification of atrial fibrillation in older patients who come to Primary Care consultations is a topic of interest that has been scarcely studied.		La identificación de la fibrilación auricular en pacientes mayores que acuden a consulta de atención primaria es un tema de interés poco estudiado.					None
2	doc92	The objective of this work was to estimate the frequency of new cases of atrial fibrillation and to analyze the clinical-epidemiological characteristics of patients 65 years of age or older, detected in Primary Care in Spain.		El objetivo de este trabajo fue estimar la frecuencia de nuevos casos de fibrilación auricular y analizar las características clínico-epidemiológicas de los pacientes de 65 años o más, detectados en la etapa de atención primaria en España.					None
3	doc92	An observational, descriptive, national, multicenter study was carried out in 48 health centers, in which 218 doctors and 101 Primary Care nurses recruited 7,068 patients, who underwent an arterial pulse and an electrocardiogram. in case of being abnormal or doubtful, determining the presence of atrial fibrillation and other rhythm disorders, symptoms and signs compatible with atrial fibrillation and comorbidity and cardiovascular risk factors.		Se realizó un estudio observacional, descriptivo, nacional y multicéntrico en 48 centros de salud, en el que 218 médicos y 101 enfermeros de atención primaria reclutaron a 7068 pacientes, a los que se les realizó una prueba de pulso arterial y un electrocardiograma. En caso de que estos fueran anormales o dudosos, esto determinaba la presencia de fibrilación auricular y otros trastornos del ritmo cardíaco, síntomas y signos compatibles con fibrilación auricular, y factores de riesgo cardiovascular y de comorbilidad.					None
4	doc92	A univariate, bivariate and multivariate analysis (multiple logistic regression) was performed.		Se realizó un análisis univariado, bivariado y multivariado (regresión logística múltiple).					None
5	doc92	The patients had a mean age of 74.41±6.78 (DT) years.		Los pacientes tenían una edad media de 74,41 ± 6,78 (DT) años.					None
6	doc92	2.3% presented atrial fibrilation (95% CI: 2.0-2.7), being its frequency higher in men (2.9%; p<0.001), and as age increased (p<0.001).		El 2,3 % presentó fibrilación auricular (IC del 95 % = 2,0-2,7), cuya frecuencia era mayor en los hombres (2,9 %; p < 0,001) y aumentaba con la edad (p < 0,001).					None
7	doc92	The most frequent symptoms present among patients with atrial fibrillation were palpitations (Odds Ratio -OR-=3.50; 95% CI: 2.28-5.37), dyspnea (OR=2.71; 95% CI: 1.87-3.90), general discomfort (OR=2.32, 95% CI: 1.15-4.63), and dizziness (OR=1.80, 95% CI: 1.20-3.51).		Los síntomas más frecuentes presentes entre los pacientes con fibrilación auricular fueron palpitaciones (cociente de probabilidades [OR] = 3,50; IC del 95 % = 2,28-5,37), disnea (OR = 2,71; IC del 95 % = 1,87-3,90), malestar general (OR = 2,32; IC del 95 % = 1,15-4,63) y mareos (OR = 1,80; IC del 95 % = 1,20-3,51).					None
8	doc92	The 21.8% were asymptomatic.		El 21,8 % era asintomático.		El 21,8 % <tag>era</tag> asintomático.	Linguistic Conventions - Grammar	Major	None
9	doc92	The frequency of new cases of atrial fibrillation in the Spanish population of 65 years or older is high, being higher in men and increasing with age.		La frecuencia de nuevos casos de fibrilación auricular en la población española de 65 años o más es alta, es mayor en los hombres y aumenta con la edad.					None
10	doc92	Two out of ten patients are asymptomatic.		Dos de cada diez pacientes son asintomáticos.					None
